ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
2,Chennai,Chennai Open,1/8/17,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Medvedev D.,14,99,2350,611,6,3,6,4,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Bagnis F.,72,56,710,835,6,1,6,7,6,4,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Yuksel A.,55,507,848,73,6,2,6,3,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Almagro N.,Lorenzi P.,44,40,1013,1090,7,6,4,6,6,3,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Struff J.L.,2,63,11780,758,7,6,6,3,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Mayer F.,71,50,722,903,6,7,6,4,7,6,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Haase R.,11,59,2750,795,7,6,6,2,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Baghdatis M.,107,36,558,1140,6,4,5,3,,,,,,,1,0,Retired
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,De Greef A.,Safwat M.,134,199,456,278,6,7,7,5,6,4,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/2/17,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Pospisil V.,42,133,1035,456,7,5,6,0,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Khachanov K.,Zayid M.S.,53,1277,863,5,6,1,6,3,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Jaziri M.,32,58,1325,814,6,2,7,6,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Melzer G.,Mathieu P.H.,68,73,728,710,6,7,6,3,6,2,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kuznetsov An.,12,46,2550,970,6,1,4,6,6,2,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Marchenko I.,20,74,1795,705,7,6,7,6,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Chardy J.,1,69,12410,725,6,0,7,6,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/3/17,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Giannessi A.,10,128,3060,475,7,6,6,2,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Almagro N.,Kohlschreiber P.,44,32,1013,1325,7,6,7,6,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Goffin D.,42,11,1035,2750,6,1,7,6,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,De Greef A.,107,134,558,456,6,3,6,2,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Vesely J.,10,55,3060,848,7,6,1,6,6,1,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Zeballos H.,2,71,11780,722,6,3,6,4,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Murray A.,Melzer G.,1,68,12410,728,7,6,7,5,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Karlovic I.,Khachanov K.,20,53,1795,863,7,6,7,6,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/4/17,ATP250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Brown D.,12,72,2550,710,6,1,6,3,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/5/17,ATP250,Outdoor,Hard,Quarterfinals,3,Verdasco F.,Karlovic I.,42,20,1035,1795,6,2,7,5,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/5/17,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Stepanek R.,2,107,11780,558,6,3,6,3,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/5/17,ATP250,Outdoor,Hard,Quarterfinals,3,Murray A.,Almagro N.,1,44,12410,1013,7,6,7,5,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/5/17,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Tsonga J.W.,10,12,3060,2550,7,5,6,3,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/6/17,ATP250,Outdoor,Hard,Semifinals,3,Djokovic N.,Verdasco F.,2,42,11780,1035,4,6,7,6,6,3,,,,,2,1,Completed
3,Doha,Qatar Exxon Mobil Open,1/6/17,ATP250,Outdoor,Hard,Semifinals,3,Murray A.,Berdych T.,1,10,12410,3060,6,3,6,4,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,1/7/17,ATP250,Outdoor,Hard,The Final,3,Djokovic N.,Murray A.,2,1,11780,12410,6,3,5,7,6,4,,,,,2,1,Completed
4,Auckland,ASB Classic,1/8/17,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Robert S.,33,53,1320,854,6,4,6,3,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Tearney F.,58,447,795,90,6,4,7,5,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Zeballos H.,54,69,848,725,6,4,6,3,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Jaziri M.,Schwartzman D.,56,52,814,867,7,6,6,3,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Venus M.,28,1035,1410,10,3,6,6,4,6,3,,,,,2,1,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Mmoh M.,70,195,718,285,7,6,3,6,6,4,,,,,2,1,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Klein B.,Bagnis F.,324,55,148,817,6,1,6,7,7,6,,,,,2,1,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Garcia-Lopez G.,89,74,632,700,6,1,6,2,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,Ramos-Vinolas A.,44,26,1030,1435,6,1,7,5,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Khachanov K.,61,51,774,875,4,6,7,6,7,6,,,,,2,1,Completed
4,Auckland,ASB Classic,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Mannarino A.,36,60,1140,781,6,4,6,4,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Sitak A.,71,999,705,999,6,4,6,2,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/10/17,ATP250,Outdoor,Hard,2nd Round,3,Haase R.,Ferrer D.,58,21,795,1785,2,6,6,4,7,6,,,,,2,1,Completed
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Sousa J.,Klein B.,44,324,1030,148,6,3,6,4,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Johnson S.,Lu Y.H.,33,61,1320,774,6,4,7,6,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Jaziri M.,19,56,1850,814,6,3,3,6,7,6,,,,,2,1,Completed
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Vesely J.,Statham J.,54,434,848,94,6,7,7,5,6,3,,,,,2,1,Completed
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Baghdatis M.,Brown D.,36,70,1140,718,4,6,7,6,6,4,,,,,2,1,Completed
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Lopez F.,71,28,705,1410,,,,,,,,,,,,,Walkover
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Sock J.,Harrison R.,23,89,1710,632,7,6,4,6,6,1,,,,,2,1,Completed
4,Auckland,ASB Classic,1/11/17,ATP250,Outdoor,Hard,Quarterfinals,3,Sousa J.,Haase R.,44,58,1030,795,6,3,6,2,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/12/17,ATP250,Outdoor,Hard,Quarterfinals,3,Johnson S.,Isner J.,33,19,1320,1850,6,3,5,7,7,6,,,,,2,1,Completed
4,Auckland,ASB Classic,1/12/17,ATP250,Outdoor,Hard,Quarterfinals,3,Baghdatis M.,Vesely J.,36,54,1140,848,6,2,6,4,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/12/17,ATP250,Outdoor,Hard,Quarterfinals,3,Sock J.,Chardy J.,23,71,1710,705,5,7,6,4,6,3,,,,,2,1,Completed
4,Auckland,ASB Classic,1/13/17,ATP250,Outdoor,Hard,Semifinals,3,Sousa J.,Baghdatis M.,44,36,1030,1140,6,1,7,5,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/13/17,ATP250,Outdoor,Hard,Semifinals,3,Sock J.,Johnson S.,23,33,1710,1320,6,4,6,3,,,,,,,2,0,Completed
4,Auckland,ASB Classic,1/14/17,ATP250,Outdoor,Hard,The Final,3,Sock J.,Sousa J.,23,44,1710,1030,6,3,5,7,6,3,,,,,2,1,Completed
5,Sydney,Apia International,1/8/17,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Bellucci T.,38,62,1122,771,6,2,7,6,,,,,,,2,0,Completed
5,Sydney,Apia International,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Barton M.,Edmund K.,198,45,282,989,7,6,7,6,,,,,,,2,0,Completed
5,Sydney,Apia International,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Monteiro T.,67,83,736,660,6,3,4,6,6,3,,,,,2,1,Completed
5,Sydney,Apia International,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Elias G.,O'Connell C.,81,238,675,217,6,7,6,4,6,1,,,,,2,1,Completed
5,Sydney,Apia International,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Lorenzi P.,Mayer F.,41,49,1090,903,7,6,4,6,7,6,,,,,2,1,Completed
5,Sydney,Apia International,1/9/17,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Fognini F.,32,47,1325,945,6,4,6,4,,,,,,,2,0,Completed
5,Sydney,Apia International,1/10/17,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Paire B.,333,46,144,960,6,3,3,6,7,6,,,,,2,1,Completed
5,Sydney,Apia International,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Kuznetsov An.,Klizan M.,48,35,935,1230,2,6,6,1,3,0,,,,,1,1,Retired
5,Sydney,Apia International,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Almagro N.,50,43,884,1040,6,4,6,2,,,,,,,2,0,Completed
5,Sydney,Apia International,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Muller G.,Dolgopolov O.,34,63,1255,760,3,6,6,3,7,5,,,,,2,1,Completed
5,Sydney,Apia International,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Giraldo S.,37,90,1136,632,6,7,7,5,6,3,,,,,2,1,Completed
5,Sydney,Apia International,1/10/17,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Basilashvili N.,75,94,699,624,7,5,6,2,,,,,,,2,0,Completed
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Cuevas P.,Mahut N.,22,38,1780,1122,6,4,2,6,6,2,,,,,2,1,Completed
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Muller G.,Barton M.,34,198,1255,282,6,1,3,6,6,4,,,,,2,1,Completed
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Zverev M.,30,50,1370,884,3,6,7,6,6,3,,,,,2,1,Completed
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Thompson J.,32,75,1325,699,7,5,6,4,,,,,,,2,0,Completed
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Evans D.,Granollers M.,67,37,736,1136,1,6,6,3,6,3,,,,,2,1,Completed
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Troicki V.,Lorenzi P.,29,41,1385,1090,6,3,6,4,,,,,,,2,0,Completed
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Kuznetsov An.,De Minaur A.,48,333,935,144,6,2,,,,,,,,,1,0,Retired
5,Sydney,Apia International,1/11/17,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Elias G.,8,81,3415,675,6,7,6,3,7,5,,,,,2,1,Completed
5,Sydney,Apia International,1/12/17,ATP250,Outdoor,Hard,Quarterfinals,3,Muller G.,Cuevas P.,34,22,1255,1780,7,6,6,4,,,,,,,2,0,Completed
5,Sydney,Apia International,1/12/17,ATP250,Outdoor,Hard,Quarterfinals,3,Troicki V.,Kohlschreiber P.,29,32,1385,1325,,,,,,,,,,,,,Walkover
5,Sydney,Apia International,1/12/17,ATP250,Outdoor,Hard,Quarterfinals,3,Kuznetsov An.,Carreno Busta P.,48,30,935,1370,2,6,6,4,6,1,,,,,2,1,Completed
